users,template_size,rs_comp,bp_comp,transfer
64,64,157,0,131133
64,640,795,0,131133
64,64,158,0,131133
64,640,789,0,131133
64,64,164,0,131133
64,640,785,0,131133
64,64,158,0,131133
64,640,784,0,131133
64,64,158,0,131133
64,640,787,0,131133
128,64,158,0,131133
128,640,789,0,131133
128,64,158,0,131133
128,640,788,0,131133
128,64,159,0,131133
128,640,797,0,131133
128,64,157,0,131133
128,640,789,0,131133
128,64,158,0,131133
128,640,782,0,131133
256,64,166,0,131133
256,640,788,0,131133
256,64,167,0,131133
256,640,792,0,131133
256,64,158,0,131133
256,640,783,0,131133
256,64,158,0,131133
256,640,786,0,131133
256,64,160,0,131133
256,640,786,0,131133
512,64,160,0,131133
512,640,788,0,131133
512,64,157,0,131133
512,640,791,0,131133
512,64,158,0,131133
512,640,787,0,131133
512,64,158,0,131133
512,640,793,0,131133
512,64,159,0,131133
512,640,788,0,131133
1024,64,158,0,131133
1024,640,786,0,131133
1024,64,159,0,131133
1024,640,788,0,131133
1024,64,158,0,131133
1024,640,792,0,131133
1024,64,161,0,131133
1024,640,792,0,131133
1024,64,175,0,131133
1024,640,792,0,131133
2048,64,158,0,131133
2048,640,792,0,131133
2048,64,162,0,131133
2048,640,790,0,131133
2048,64,158,0,131133
2048,640,785,0,131133
2048,64,158,0,131133
2048,640,787,0,131133
2048,64,159,0,131133
2048,640,788,0,131133
4096,64,163,0,131133
4096,640,1556,0,262266
4096,64,160,0,131133
4096,640,1547,1,262266
4096,64,158,0,131133
4096,640,1555,0,262266
4096,64,158,0,131133
4096,640,1552,0,262266
4096,64,158,0,131133
4096,640,1554,1,262266
8192,64,308,0,262266
8192,640,3041,1,524532
8192,64,309,0,262266
8192,640,3088,1,524532
8192,64,311,0,262266
8192,640,3084,1,524532
8192,64,310,0,262266
8192,640,3125,1,524532
8192,64,310,0,262266
8192,640,3065,1,524532
16384,64,618,1,524532
16384,640,6155,3,1049064
16384,64,628,1,524532
16384,640,6197,3,1049064
16384,64,626,2,524532
16384,640,6282,3,1049064
16384,64,627,1,524532
16384,640,6177,3,1049064
16384,64,622,1,524532
16384,640,6210,3,1049064
32768,64,1265,3,1049064
32768,640,12573,6,2098128
32768,64,1237,4,1049064
32768,640,12457,6,2098128
32768,64,1246,3,1049064
32768,640,12496,6,2098128
32768,64,1247,3,1049064
32768,640,12543,6,2098128
32768,64,1242,3,1049064
32768,640,12533,6,2098128
