users,fuse,rs_comp,rs_transfer,users,fuse,bp_comp,bp_transfer
32, 1, 7, 151232,32, 1, 10, 267206
32, 1, 8, 151232,32, 1, 10, 267206
32, 1, 8, 151232,32, 1, 11, 267206
32, 1, 6, 151232,32, 1, 9, 267206
32, 1, 8, 151232,32, 1, 10, 267206
64, 1, 13, 293568,64, 1, 16, 268102
64, 1, 11, 293568,64, 1, 13, 268102
64, 1, 13, 293568,64, 1, 16, 268102
64, 1, 15, 293568,64, 1, 17, 268102
64, 1, 13, 293568,64, 1, 16, 268102
128, 1, 21, 578240,128, 1, 24, 269894
128, 1, 20, 578240,128, 1, 23, 269894
128, 1, 30, 578240,128, 1, 33, 269894
128, 1, 21, 578240,128, 1, 24, 269894
128, 1, 20, 578240,128, 1, 23, 269894
256, 1, 36, 1147584,256, 1, 40, 273478
256, 1, 43, 1147584,256, 1, 47, 273478
256, 1, 40, 1147584,256, 1, 44, 273478
256, 1, 35, 1147584,256, 1, 39, 273478
256, 1, 43, 1147584,256, 1, 47, 273478
512, 1, 58, 2286272,512, 1, 63, 280646
512, 1, 57, 2286272,512, 1, 61, 280646
512, 1, 65, 2286272,512, 1, 71, 280646
512, 1, 58, 2286272,512, 1, 63, 280646
512, 1, 57, 2286272,512, 1, 61, 280646
1024, 1, 97, 4563648,1024, 1, 106, 557126
1024, 1, 105, 4563648,1024, 1, 116, 557126
1024, 1, 97, 4563648,1024, 1, 105, 557126
1024, 1, 95, 4563648,1024, 1, 105, 557126
1024, 1, 97, 4563648,1024, 1, 106, 557126
2048, 1, 179, 9118400,2048, 1, 196, 1110086
2048, 1, 178, 9118400,2048, 1, 194, 1110086
2048, 1, 186, 9118400,2048, 1, 204, 1110086
2048, 1, 179, 9118400,2048, 1, 195, 1110086
2048, 1, 185, 9118400,2048, 1, 202, 1110086
4096, 1, 357, 18227904,4096, 1, 378, 1953862
4096, 1, 395, 18227904,4096, 1, 414, 1953862
4096, 1, 368, 18227904,4096, 1, 393, 1953862
4096, 1, 368, 18227904,4096, 1, 389, 1953862
4096, 1, 423, 18227904,4096, 1, 444, 1953862
8192, 1, 737, 36446912,8192, 1, 765, 3903558
8192, 1, 726, 36446912,8192, 1, 758, 3903558
8192, 1, 731, 36446912,8192, 1, 762, 3903558
8192, 1, 726, 36446912,8192, 1, 755, 3903558
8192, 1, 725, 36446912,8192, 1, 756, 3903558
16384, 1, 1476, 72884928,16384, 1, 1522, 7802950
16384, 1, 1499, 72884928,16384, 1, 1545, 7802950
16384, 1, 1485, 72884928,16384, 1, 1532, 7802950
16384, 1, 1552, 72884928,16384, 1, 1596, 7802950
16384, 1, 1551, 72884928,16384, 1, 1595, 7802950
32, 4, 21, 578240,32, 4, 24, 269894
32, 4, 21, 578240,32, 4, 24, 269894
32, 4, 24, 578240,32, 4, 26, 269894
32, 4, 29, 578240,32, 4, 32, 269894
32, 4, 21, 578240,32, 4, 24, 269894
64, 4, 35, 1147584,64, 4, 39, 273478
64, 4, 35, 1147584,64, 4, 38, 273478
64, 4, 44, 1147584,64, 4, 49, 273478
64, 4, 35, 1147584,64, 4, 38, 273478
64, 4, 42, 1147584,64, 4, 46, 273478
128, 4, 58, 2286272,128, 4, 62, 280646
128, 4, 60, 2286272,128, 4, 64, 280646
128, 4, 58, 2286272,128, 4, 62, 280646
128, 4, 63, 2286272,128, 4, 69, 280646
128, 4, 58, 2286272,128, 4, 63, 280646
256, 4, 100, 4563648,256, 4, 109, 557126
256, 4, 97, 4563648,256, 4, 106, 557126
256, 4, 103, 4563648,256, 4, 114, 557126
256, 4, 97, 4563648,256, 4, 107, 557126
256, 4, 97, 4563648,256, 4, 106, 557126
512, 4, 180, 9118400,512, 4, 197, 1110086
512, 4, 182, 9118400,512, 4, 198, 1110086
512, 4, 187, 9118400,512, 4, 203, 1110086
512, 4, 182, 9118400,512, 4, 199, 1110086
512, 4, 200, 9118400,512, 4, 217, 1110086
1024, 4, 376, 18227904,1024, 4, 396, 1953862
1024, 4, 367, 18227904,1024, 4, 388, 1953862
1024, 4, 365, 18227904,1024, 4, 386, 1953862
1024, 4, 365, 18227904,1024, 4, 385, 1953862
1024, 4, 372, 18227904,1024, 4, 393, 1953862
2048, 4, 746, 36446912,2048, 4, 774, 3903558
2048, 4, 745, 36446912,2048, 4, 776, 3903558
2048, 4, 740, 36446912,2048, 4, 768, 3903558
2048, 4, 740, 36446912,2048, 4, 771, 3903558
2048, 4, 748, 36446912,2048, 4, 777, 3903558
4096, 4, 1510, 72884928,4096, 4, 1555, 7802950
4096, 4, 1496, 72884928,4096, 4, 1539, 7802950
4096, 4, 1567, 72884928,4096, 4, 1611, 7802950
4096, 4, 1583, 72884928,4096, 4, 1628, 7802950
4096, 4, 1502, 72884928,4096, 4, 1547, 7802950
8192, 4, 3049, 145760960,8192, 4, 3124, 15601734
8192, 4, 3053, 145760960,8192, 4, 3130, 15601734
8192, 4, 3220, 145760960,8192, 4, 3297, 15601734
8192, 4, 3083, 145760960,8192, 4, 3160, 15601734
8192, 4, 3120, 145760960,8192, 4, 3196, 15601734
16384, 4, 6257, 291513024,16384, 4, 6400, 31199302
16384, 4, 6268, 291513024,16384, 4, 6417, 31199302
16384, 4, 6381, 291513024,16384, 4, 6528, 31199302
16384, 4, 6308, 291513024,16384, 4, 6454, 31199302
16384, 4, 6559, 291513024,16384, 4, 6705, 31199302
