users,fuse,template_size,bp_comp,bp_transfer,rs_users,rs_fuse,rs_template_size,rs_comp,rs_transfer
32, 1, 64, 365, 282694,32, 1, 64, 359, 19045056
32, 1, 64, 368, 282694,32, 1, 64, 362, 19045056
32, 1, 64, 365, 282694,32, 1, 64, 358, 19045056
64, 1, 64, 684, 561222,64, 1, 64, 669, 38081216
64, 1, 64, 841, 561222,64, 1, 64, 830, 38081216
64, 1, 64, 950, 561222,64, 1, 64, 912, 38081216
128, 1, 64, 1815, 1118278,128, 1, 64, 1780, 76153536
128, 1, 64, 1865, 1118278,128, 1, 64, 1809, 76153536
128, 1, 64, 1521, 1118278,128, 1, 64, 1500, 76153536
256, 1, 64, 3143, 2232390,256, 1, 64, 3120, 152298176
256, 1, 64, 3538, 2232390,256, 1, 64, 3515, 152298176
256, 1, 64, 3119, 2232390,256, 1, 64, 3095, 152298176
512, 1, 64, 6344, 4460614,512, 1, 64, 6324, 304587456
512, 1, 64, 6378, 4460614,512, 1, 64, 6347, 304587456
512, 1, 64, 6511, 4460614,512, 1, 64, 6486, 304587456
1024, 1, 64, 12709, 8917062,1024, 1, 64, 12683, 609166016
1024, 1, 64, 13373, 8917062,1024, 1, 64, 13339, 609166016
1024, 1, 64, 12705, 8917062,1024, 1, 64, 12673, 609166016
32, 4, 64, 1498, 1118278,32, 4, 64, 1476, 76150464
32, 4, 64, 1472, 1118278,32, 4, 64, 1453, 76150464
32, 4, 64, 1573, 1118278,32, 4, 64, 1552, 76150464
64, 4, 64, 2883, 2232390,64, 4, 64, 2860, 152292032
64, 4, 64, 2951, 2232390,64, 4, 64, 2930, 152292032
64, 4, 64, 3126, 2232390,64, 4, 64, 3106, 152292032
128, 4, 64, 6616, 4460614,128, 4, 64, 6572, 304575168
128, 4, 64, 6585, 4460614,128, 4, 64, 6559, 304575168
128, 4, 64, 6744, 4460614,128, 4, 64, 6717, 304575168
256, 4, 64, 13721, 8917062,256, 4, 64, 13687, 609141440
256, 4, 64, 13023, 8917062,256, 4, 64, 13001, 609141440
256, 4, 64, 14310, 8917062,256, 4, 64, 14288, 609141440
512, 4, 64, 26943, 17829958,512, 4, 64, 26903, 1218273984
512, 4, 64, 27998, 17829958,512, 4, 64, 27970, 1218273984
512, 4, 64, 29646, 17829958,512, 4, 64, 29612, 1218273984
1024, 4, 64, 51714, 35655750,1024, 4, 64, 51682, 2436539072
1024, 4, 64, 51967, 35655750,1024, 4, 64, 51939, 2436539072
1024, 4, 64, 55174, 35655750,1024, 4, 64, 55133, 2436539072
32, 1, 640, 3527, 2789446,32, 1, 640, 3507, 190094016
32, 1, 640, 3377, 2789446,32, 1, 640, 3358, 190094016
32, 1, 640, 3307, 2789446,32, 1, 640, 3287, 190094016
64, 1, 640, 7357, 5574726,64, 1, 640, 7323, 380179136
64, 1, 640, 7331, 5574726,64, 1, 640, 7312, 380179136
64, 1, 640, 7296, 5574726,64, 1, 640, 7275, 380179136
128, 1, 640, 13978, 11145286,128, 1, 640, 13956, 760349376
128, 1, 640, 14598, 11145286,128, 1, 640, 14576, 760349376
128, 1, 640, 14475, 11145286,128, 1, 640, 14452, 760349376
256, 1, 640, 28749, 22286406,256, 1, 640, 28724, 1520689856
256, 1, 640, 28877, 22286406,256, 1, 640, 28851, 1520689856
256, 1, 640, 29148, 22286406,256, 1, 640, 29126, 1520689856
512, 1, 640, 67839, 44568646,512, 1, 640, 67802, 3041370816
512, 1, 640, 58786, 44568646,512, 1, 640, 58757, 3041370816
512, 1, 640, 58165, 44568646,512, 1, 640, 58129, 3041370816
1024, 1, 640, 117832, 89133126,1024, 1, 640, 117794, 6082732736
1024, 1, 640, 129991, 89133126,1024, 1, 640, 129943, 6082732736
1024, 1, 640, 137887, 89133126,1024, 1, 640, 137834, 6082732736
32, 4, 640, 14113, 11145286,32, 4, 640, 14087, 760346304
32, 4, 640, 14259, 11145286,32, 4, 640, 14237, 760346304
32, 4, 640, 14497, 11145286,32, 4, 640, 14476, 760346304
64, 4, 640, 30157, 22286406,64, 4, 640, 30133, 1520683712
64, 4, 640, 30013, 22286406,64, 4, 640, 29988, 1520683712
64, 4, 640, 29608, 22286406,64, 4, 640, 29582, 1520683712
128, 4, 640, 60747, 44568646,128, 4, 640, 60717, 3041358528
128, 4, 640, 61540, 44568646,128, 4, 640, 61508, 3041358528
128, 4, 640, 61930, 44568646,128, 4, 640, 61902, 3041358528
256, 4, 640, 124183, 89133126,256, 4, 640, 124134, 6082708160
256, 4, 640, 125306, 89133126,256, 4, 640, 125261, 6082708160
256, 4, 640, 125156, 89133126,256, 4, 640, 125108, 6082708160
512, 4, 640, 247794, 178262086,512, 4, 640, 247719, 12165407424
512, 4, 640, 247518, 178262086,512, 4, 640, 247443, 12165407424
512, 4, 640, 249604, 178262086,512, 4, 640, 249533, 12165407424
1024, 4, 640, 496474, 356520006,1024, 4, 640, 496318, 24330805952
1024, 4, 640, 498109, 356520006,1024, 4, 640, 497981, 24330805952
1024, 4, 640, 557551, 356520006,1024, 4, 640, 557428, 24330805952
