N,M,sec,task,time,trans_out,trans_in
64, 64, 1024, OEDPVar preparation, 906, 66.048828125, 0.00390625
64, 64, 1024, Yao's Circuit preparation, 146, 0.0, 0.0
64, 64, 1024, OT preparation, 472, 12.9345703125, 8.966796875
64, 64, 1024, OEDPVar protocol execution, 10, 0.0, 1.150390625
64, 64, 1024, reseting circuit wires, 2, 0.0, 0.0
64, 64, 1024, sending mask, 2, 23.0849609375, 0.0
64, 64, 1024, sending labels for selfs inputs, 3, 29.0478515625, 0.0
64, 64, 1024, sending labels for peers inputs, 141, 57.783203125, 64.072265625
64, 64, 1024, circuit garbling, 280, 327.3916015625, 0.0
64, 64, 1024, output labels received and interpreted, 5, 0.0, 0.744140625
64, 64, 1024, ID Retrieving, 4, 6.330078125, 0.0
64, 64, 1024, OEDPVar protocol execution, 125, 0.0, 1.2197265625
64, 64, 1024, reseting circuit wires, 3, 0.0, 0.0
64, 64, 1024, sending mask, 1, 23.072265625, 0.0
64, 64, 1024, sending labels for selfs inputs, 7, 29.0478515625, 0.0
64, 64, 1024, sending labels for peers inputs, 108, 57.783203125, 64.072265625
64, 64, 1024, circuit garbling, 211, 322.1826171875, 0.0
64, 64, 1024, output labels received and interpreted, 70, 0.0, 0.744140625
64, 64, 1024, ID Retrieving, 2, 6.3291015625, 0.0
64, 64, 1024, OEDPVar protocol execution, 102, 0.0, 1.2197265625
64, 64, 1024, reseting circuit wires, 3, 0.0, 0.0
64, 64, 1024, sending mask, 1, 23.072265625, 0.0
64, 64, 1024, sending labels for selfs inputs, 4, 29.0478515625, 0.0
64, 64, 1024, sending labels for peers inputs, 123, 57.783203125, 64.072265625
64, 64, 1024, circuit garbling, 98, 322.1826171875, 0.0
64, 64, 1024, output labels received and interpreted, 91, 0.0, 0.744140625
64, 64, 1024, ID Retrieving, 6, 6.3310546875, 0.0
64, 64, 1024, OEDPVar protocol execution, 131, 0.0, 1.2197265625
64, 64, 1024, reseting circuit wires, 13, 0.0, 0.0
64, 64, 1024, sending mask, 1, 23.072265625, 0.0
64, 64, 1024, sending labels for selfs inputs, 5, 29.0478515625, 0.0
64, 64, 1024, sending labels for peers inputs, 81, 57.783203125, 64.072265625
64, 64, 1024, circuit garbling, 77, 322.1826171875, 0.0
64, 64, 1024, output labels received and interpreted, 61, 0.0, 0.744140625
64, 64, 1024, ID Retrieving, 1, 6.3291015625, 0.0
64, 64, 1024, OEDPVar protocol execution, 103, 0.0, 1.2197265625
64, 64, 1024, reseting circuit wires, 15, 0.0, 0.0
64, 64, 1024, sending mask, 2, 23.072265625, 0.0
64, 64, 1024, sending labels for selfs inputs, 7, 29.0478515625, 0.0
64, 64, 1024, sending labels for peers inputs, 62, 57.783203125, 64.072265625
64, 64, 1024, circuit garbling, 77, 322.1826171875, 0.0
64, 64, 1024, output labels received and interpreted, 86, 0.0, 0.744140625
64, 64, 1024, ID Retrieving, 4, 6.3310546875, 0.0
64, 640, 1024, OEDPVar preparation, 5653, 644.861328125, 0.00390625
64, 640, 1024, Yao's Circuit preparation, 109, 0.0, 0.0
64, 640, 1024, OT preparation, 557, 12.935546875, 8.966796875
64, 640, 1024, OEDPVar protocol execution, 217, 0.0, 1.150390625
64, 640, 1024, reseting circuit wires, 2, 0.0, 0.0
64, 640, 1024, sending mask, 2, 23.0849609375, 0.0
64, 640, 1024, sending labels for selfs inputs, 7, 29.0478515625, 0.0
64, 640, 1024, sending labels for peers inputs, 73, 57.783203125, 64.072265625
64, 640, 1024, circuit garbling, 236, 327.3916015625, 0.0
64, 640, 1024, output labels received and interpreted, 86, 0.0, 0.744140625
64, 640, 1024, ID Retrieving, 3, 6.330078125, 0.0
64, 640, 1024, OEDPVar protocol execution, 209, 0.0, 1.7822265625
64, 640, 1024, reseting circuit wires, 1, 0.0, 0.0
64, 640, 1024, sending mask, 1, 23.072265625, 0.0
64, 640, 1024, sending labels for selfs inputs, 2, 29.0478515625, 0.0
64, 640, 1024, sending labels for peers inputs, 210, 57.783203125, 64.072265625
64, 640, 1024, circuit garbling, 123, 322.1826171875, 0.0
64, 640, 1024, output labels received and interpreted, 7, 0.0, 0.744140625
64, 640, 1024, ID Retrieving, 2, 6.3310546875, 0.0
64, 640, 1024, OEDPVar protocol execution, 166, 0.0, 1.7822265625
64, 640, 1024, reseting circuit wires, 9, 0.0, 0.0
64, 640, 1024, sending mask, 2, 23.072265625, 0.0
64, 640, 1024, sending labels for selfs inputs, 4, 29.0478515625, 0.0
64, 640, 1024, sending labels for peers inputs, 134, 57.783203125, 64.072265625
64, 640, 1024, circuit garbling, 129, 322.1826171875, 0.0
64, 640, 1024, output labels received and interpreted, 89, 0.0, 0.744140625
64, 640, 1024, ID Retrieving, 2, 6.330078125, 0.0
64, 640, 1024, OEDPVar protocol execution, 203, 0.0, 1.7822265625
64, 640, 1024, reseting circuit wires, 2, 0.0, 0.0
64, 640, 1024, sending mask, 1, 23.072265625, 0.0
64, 640, 1024, sending labels for selfs inputs, 4, 29.0478515625, 0.0
64, 640, 1024, sending labels for peers inputs, 103, 57.783203125, 64.072265625
64, 640, 1024, circuit garbling, 178, 322.1826171875, 0.0
64, 640, 1024, output labels received and interpreted, 43, 0.0, 0.7431640625
64, 640, 1024, ID Retrieving, 1, 6.330078125, 0.0
64, 640, 1024, OEDPVar protocol execution, 176, 0.0, 1.7822265625
64, 640, 1024, reseting circuit wires, 2, 0.0, 0.0
64, 640, 1024, sending mask, 2, 23.072265625, 0.0
64, 640, 1024, sending labels for selfs inputs, 2, 29.0478515625, 0.0
64, 640, 1024, sending labels for peers inputs, 131, 57.783203125, 64.072265625
64, 640, 1024, circuit garbling, 96, 322.1826171875, 0.0
64, 640, 1024, output labels received and interpreted, 90, 0.0, 0.744140625
64, 640, 1024, ID Retrieving, 1, 6.330078125, 0.0
128, 64, 1024, OEDPVar preparation, 1523, 131.3662109375, 0.00390625
128, 64, 1024, Yao's Circuit preparation, 305, 0.0, 0.0
128, 64, 1024, OT preparation, 378, 12.939453125, 8.9658203125
128, 64, 1024, OEDPVar protocol execution, 89, 0.0, 2.294921875
128, 64, 1024, reseting circuit wires, 5, 0.0, 0.0
128, 64, 1024, sending mask, 3, 46.0849609375, 0.0
128, 64, 1024, sending labels for selfs inputs, 11, 57.939453125, 0.0
128, 64, 1024, sending labels for peers inputs, 247, 115.5615234375, 121.572265625
128, 64, 1024, circuit garbling, 479, 656.1416015625, 0.0
128, 64, 1024, output labels received and interpreted, 16, 0.0, 0.7431640625
128, 64, 1024, ID Retrieving, 7, 12.705078125, 0.0
128, 64, 1024, OEDPVar protocol execution, 125, 0.0, 2.3642578125
128, 64, 1024, reseting circuit wires, 6, 0.0, 0.0
128, 64, 1024, sending mask, 2, 46.072265625, 0.0
128, 64, 1024, sending labels for selfs inputs, 9, 57.939453125, 0.0
128, 64, 1024, sending labels for peers inputs, 103, 115.5615234375, 121.572265625
128, 64, 1024, circuit garbling, 245, 645.6826171875, 0.0
128, 64, 1024, output labels received and interpreted, 84, 0.0, 0.744140625
128, 64, 1024, ID Retrieving, 4, 12.7041015625, 0.0
128, 64, 1024, OEDPVar protocol execution, 108, 0.0, 2.3642578125
128, 64, 1024, reseting circuit wires, 24, 0.0, 0.0
128, 64, 1024, sending mask, 3, 46.072265625, 0.0
128, 64, 1024, sending labels for selfs inputs, 9, 57.939453125, 0.0
128, 64, 1024, sending labels for peers inputs, 81, 115.5615234375, 121.572265625
128, 64, 1024, circuit garbling, 183, 645.6826171875, 0.0
128, 64, 1024, output labels received and interpreted, 84, 0.0, 0.744140625
128, 64, 1024, ID Retrieving, 4, 12.705078125, 0.0
128, 64, 1024, OEDPVar protocol execution, 173, 0.0, 2.3642578125
128, 64, 1024, reseting circuit wires, 29, 0.0, 0.0
128, 64, 1024, sending mask, 4, 46.072265625, 0.0
128, 64, 1024, sending labels for selfs inputs, 15, 57.939453125, 0.0
