users,template_size,rs_comp,bp_comp,transfer
64,2048,2392,0,131133
64,10240,6136,0,131133
64,2048,2538,0,131133
64,10240,6261,0,131133
64,2048,2547,0,131133
64,10240,6261,0,131133
64,2048,2579,0,131133
64,10240,6289,0,131133
64,2048,2521,0,131133
64,10240,6509,0,131133
128,2048,2583,0,131133
128,10240,6389,0,131133
128,2048,2544,0,131133
128,10240,6351,0,131133
128,2048,2525,0,131133
128,10240,6395,0,131133
128,2048,2526,0,131133
128,10240,6277,0,131133
128,2048,2556,0,131133
128,10240,6341,0,131133
256,2048,2580,0,131133
256,10240,6451,0,131133
256,2048,2599,0,131133
256,10240,6422,0,131133
256,2048,2585,0,131133
256,10240,6360,0,131133
256,2048,2562,0,131133
256,10240,6511,0,131133
256,2048,2583,0,131133
256,10240,6518,0,131133
512,2048,2523,0,131133
512,10240,6304,0,131133
512,2048,2614,0,131133
512,10240,6425,0,131133
512,2048,2599,0,131133
512,10240,6350,0,131133
512,2048,2552,0,131133
512,10240,6358,0,131133
512,2048,2598,0,131133
512,10240,6379,0,131133
1024,2048,2568,0,131133
1024,10240,12409,0,262266
1024,2048,2587,0,131133
1024,10240,12631,0,262266
1024,2048,2594,0,131133
1024,10240,12552,0,262266
1024,2048,2546,0,131133
1024,10240,12612,0,262266
1024,2048,2601,0,131133
1024,10240,12272,0,262266
2048,2048,5051,0,262266
2048,10240,24246,1,524532
2048,2048,5043,0,262266
2048,10240,24768,1,524532
2048,2048,4926,0,262266
2048,10240,24409,1,524532
2048,2048,4991,0,262266
2048,10240,24846,1,524532
2048,2048,4924,0,262266
2048,10240,24844,1,524532
4096,2048,9787,1,524532
4096,10240,48927,3,1049064
4096,2048,9877,1,524532
4096,10240,47856,3,1049064
4096,2048,9858,1,524532
4096,10240,47890,3,1049064
4096,2048,9818,1,524532
4096,10240,48299,3,1049064
4096,2048,9904,1,524532
4096,10240,49009,3,1049064
8192,2048,19318,3,1049064
8192,10240,151169,54,2098128
8192,2048,19614,3,1049064
8192,10240,139676,22,2098128
8192,2048,19532,3,1049064
8192,10240,123194,104,2098128
8192,2048,19204,3,1049064
8192,10240,115433,27,2098128
8192,2048,19362,3,1049064
8192,10240,123176,35,2098128
16384,2048,38666,6,2098128
16384,2048,38138,6,2098128
16384,2048,38630,6,2098128
16384,2048,38597,7,2098128
16384,2048,38156,7,2098128
32768,2048,76998,13,4196256
32768,2048,87039,29,4196256
32768,2048,79191,14,4196256
32768,2048,81321,14,4196256
32768,2048,77061,16,4196256
