users,fuse,template_size,bp_comp,bp_transfer,rs_users,rs_fuse,rs_template_size,rs_comp,rs_transfer
32, 1, 10240, 2402, 63454912,32, 1, 10240, 2429, 11145286
32, 1, 10240, 2380, 63454912,32, 1, 10240, 2428, 11145286
32, 1, 10240, 2302, 63454912,32, 1, 10240, 2335, 11145286
64, 1, 10240, 4883, 126900928,64, 1, 10240, 4924, 22286406
64, 1, 10240, 4668, 126900928,64, 1, 10240, 4705, 22286406
64, 1, 10240, 4780, 126900928,64, 1, 10240, 4828, 22286406
128, 1, 10240, 9858, 253792960,128, 1, 10240, 9925, 44568646
128, 1, 10240, 9332, 253792960,128, 1, 10240, 9392, 44568646
128, 1, 10240, 9288, 253792960,128, 1, 10240, 9351, 44568646
256, 1, 10240, 19528, 507577024,256, 1, 10240, 19637, 89133126
256, 1, 10240, 18749, 507577024,256, 1, 10240, 18863, 89133126
256, 1, 10240, 18912, 507577024,256, 1, 10240, 19021, 89133126
512, 1, 10240, 38176, 1015145152,512, 1, 10240, 38380, 178262086
512, 1, 10240, 42367, 1015145152,512, 1, 10240, 42584, 178262086
512, 1, 10240, 39987, 1015145152,512, 1, 10240, 40209, 178262086
1024, 1, 10240, 77521, 2030281408,1024, 1, 10240, 77898, 356520006
1024, 1, 10240, 78941, 2030281408,1024, 1, 10240, 79302, 356520006
1024, 1, 10240, 78372, 2030281408,1024, 1, 10240, 78744, 356520006
32, 2, 10240, 4253, 126899904,32, 2, 10240, 4293, 22286406
32, 2, 10240, 4723, 126899904,32, 2, 10240, 4764, 22286406
32, 2, 10240, 5085, 126899904,32, 2, 10240, 5134, 22286406
64, 2, 10240, 9721, 253790912,64, 2, 10240, 9801, 44568646
64, 2, 10240, 10414, 253790912,64, 2, 10240, 10482, 44568646
64, 2, 10240, 10109, 253790912,64, 2, 10240, 10186, 44568646
128, 2, 10240, 21203, 507572928,128, 2, 10240, 21347, 89133126
128, 2, 10240, 21011, 507572928,128, 2, 10240, 21181, 89133126
128, 2, 10240, 20013, 507572928,128, 2, 10240, 20170, 89133126
256, 2, 10240, 42405, 1015136960,256, 2, 10240, 42684, 178262086
256, 2, 10240, 44857, 1015136960,256, 2, 10240, 45168, 178262086
256, 2, 10240, 41214, 1015136960,256, 2, 10240, 41547, 178262086
512, 2, 10240, 90562, 2030265024,512, 2, 10240, 90972, 356520006
512, 2, 10240, 83161, 2030265024,512, 2, 10240, 83611, 356520006
512, 2, 10240, 86197, 2030265024,512, 2, 10240, 86633, 356520006
1024, 2, 10240, 169405, 4060521152,1024, 2, 10240, 170196, 713035846
1024, 2, 10240, 167620, 4060521152,1024, 2, 10240, 168567, 713035846
1024, 2, 10240, 172059, 4060521152,1024, 2, 10240, 172876, 713035846
2048, 2, 10240, 336005, 1426067526,2048, 2, 10240, 334713, 8121033408
2048, 2, 10240, 361190, 1426067526,2048, 2, 10240, 359740, 8121033408
2048, 2, 10240, 338293, 1426067526,2048, 2, 10240, 336461, 8121033408
4096, 2, 10240, 747154, 2852130886,4096, 2, 10240, 744868, 16242057920
4096, 2, 10240, 706217, 2852130886,4096, 2, 10240, 703579, 16242057920
4096, 2, 10240, 718978, 2852130886,4096, 2, 10240, 716054, 16242057920
2048, 1, 10240, 175424, 713035846,2048, 1, 10240, 174648, 4060553920
2048, 1, 10240, 182643, 713035846,2048, 1, 10240, 181781, 4060553920
2048, 1, 10240, 191079, 713035846,2048, 1, 10240, 190246, 4060553920
4096, 1, 10240, 377037, 1426067526,4096, 1, 10240, 375526, 8121098944
4096, 1, 10240, 378819, 1426067526,4096, 1, 10240, 377226, 8121098944
4096, 1, 10240, 401740, 1426067526,4096, 1, 10240, 400062, 8121098944
64, 1, 2048, 983, 4460614,64, 1, 2048, 957, 26241728
64, 1, 2048, 1034, 4460614,64, 1, 2048, 997, 26241728
64, 1, 2048, 1012, 4460614,64, 1, 2048, 988, 26241728
128, 1, 2048, 2051, 8917062,128, 1, 2048, 2022, 52474560
128, 1, 2048, 2045, 8917062,128, 1, 2048, 2014, 52474560
128, 1, 2048, 2033, 8917062,128, 1, 2048, 2005, 52474560
256, 1, 2048, 4124, 17829958,256, 1, 2048, 4092, 104940224
256, 1, 2048, 4373, 17829958,256, 1, 2048, 4312, 104940224
256, 1, 2048, 4204, 17829958,256, 1, 2048, 4163, 104940224
512, 1, 2048, 8551, 35655750,512, 1, 2048, 8499, 209871552
512, 1, 2048, 9401, 35655750,512, 1, 2048, 9354, 209871552
512, 1, 2048, 8527, 35655750,512, 1, 2048, 8462, 209871552
1024, 1, 2048, 17860, 71307334,1024, 1, 2048, 17766, 419734208
1024, 1, 2048, 17372, 71307334,1024, 1, 2048, 17277, 419734208
1024, 1, 2048, 19566, 71307334,1024, 1, 2048, 19460, 419734208
2048, 1, 2048, 42277, 142610502,2048, 1, 2048, 42101, 839459520
2048, 1, 2048, 35597, 142610502,2048, 1, 2048, 35403, 839459520
2048, 1, 2048, 34055, 142610502,2048, 1, 2048, 33866, 839459520
64, 2, 2048, 2379, 8917062,64, 2, 2048, 2345, 52472512
64, 2, 2048, 2308, 8917062,64, 2, 2048, 2281, 52472512
64, 2, 2048, 2195, 8917062,64, 2, 2048, 2153, 52472512
128, 2, 2048, 4456, 17829958,128, 2, 2048, 4419, 104936128
128, 2, 2048, 4701, 17829958,128, 2, 2048, 4659, 104936128
128, 2, 2048, 4896, 17829958,128, 2, 2048, 4826, 104936128
256, 2, 2048, 8765, 35655750,256, 2, 2048, 8710, 209863360
256, 2, 2048, 9029, 35655750,256, 2, 2048, 8964, 209863360
256, 2, 2048, 10009, 35655750,256, 2, 2048, 9947, 209863360
512, 2, 2048, 20606, 71307334,512, 2, 2048, 20400, 419717824
512, 2, 2048, 17468, 71307334,512, 2, 2048, 17360, 419717824
512, 2, 2048, 17484, 71307334,512, 2, 2048, 17380, 419717824
1024, 2, 2048, 34911, 142610502,1024, 2, 2048, 34689, 839426752
1024, 2, 2048, 39551, 142610502,1024, 2, 2048, 39249, 839426752
1024, 2, 2048, 34814, 142610502,1024, 2, 2048, 34611, 839426752
32, 1, 2048, 596, 2232390,32, 1, 2048, 574, 13125312
32, 1, 2048, 559, 2232390,32, 1, 2048, 533, 13125312
32, 1, 2048, 536, 2232390,32, 1, 2048, 515, 13125312
32, 2, 2048, 1067, 4460614,32, 2, 2048, 1042, 26240704
32, 2, 2048, 1015, 4460614,32, 2, 2048, 994, 26240704
32, 2, 2048, 994, 4460614,32, 2, 2048, 972, 26240704
32, 2, 10240, 4882, 22286406,32, 2, 10240, 4844, 126899904
32, 2, 10240, 5173, 22286406,32, 2, 10240, 5127, 126899904
32, 2, 10240, 5175, 22286406,32, 2, 10240, 5123, 126899904
32, 1, 10240, 2721, 11145286,32, 1, 10240, 2686, 63454912
32, 1, 10240, 2621, 11145286,32, 1, 10240, 2589, 63454912
32, 1, 10240, 2634, 11145286,32, 1, 10240, 2604, 63454912
